#,sireName,arch,foals,runs,wins,wps,win%,wps%, fees , winnings , profit , roi ,graded_wins
1,Blind Eclipse,LDS,10,106,10,32,9.4%,30.2%," 208,125 "," 506,887 "," 298,762 ", 1.44 ,3
2,Mr Wonderful,RDF,13,186,45,96,24.2%,51.6%," 456,555 "," 932,661 "," 476,106 ", 1.04 ,5
3,Lavash King,RTF,39,293,45,129,15.4%,44.0%," 522,965 "," 1,036,342 "," 513,377 ", 0.98 ,5
4,Special Happening,RDF,11,85,26,50,30.6%,58.8%," 107,515 "," 212,121 "," 104,606 ", 0.97 ,1
5,Kid Sid The,RTF,9,116,24,65,20.7%,56.0%," 228,700 "," 447,604 "," 218,904 ", 0.96 ,3
6,Ketchup,LTS,36,178,17,60,9.6%,33.7%," 296,975 "," 547,412 "," 250,437 ", 0.84 ,1
7,Jack the Rabbit,RTS,18,161,23,60,14.3%,37.3%," 386,496 "," 710,642 "," 324,146 ", 0.84 ,3
8,Power Stamp,LDS,5,44,10,20,22.7%,45.5%," 96,420 "," 176,394 "," 79,974 ", 0.83 ,0
9,Secret of Zeus,RDF,67,529,63,189,11.9%,35.7%," 757,020 "," 1,379,453 "," 622,433 ", 0.82 ,12
10,Penny Farthing,LDF,5,63,15,37,23.8%,58.7%," 115,975 "," 209,671 "," 93,696 ", 0.81 ,0
11,Nova Star,LDF,6,114,38,74,33.3%,64.9%," 134,590 "," 228,493 "," 93,903 ", 0.70 ,0
12,General Disturbance,LDS,48,434,67,188,15.4%,43.3%," 861,370 "," 1,459,038 "," 597,668 ", 0.69 ,8
13,Captain Ron,RDF,7,46,8,17,17.4%,37.0%," 64,249 "," 107,842 "," 43,593 ", 0.68 ,0
14,Beitunia,RDF,7,96,13,43,13.5%,44.8%," 161,770 "," 271,211 "," 109,441 ", 0.68 ,0
15,Finn McCool,LDF,8,66,14,26,21.2%,39.4%," 51,235 "," 84,922 "," 33,687 ", 0.66 ,0
16,4 Verticals,RDF,5,128,23,68,18.0%,53.1%," 247,500 "," 406,262 "," 158,762 ", 0.64 ,2
17,Absinthe Minded,RDF,10,114,13,48,11.4%,42.1%," 186,635 "," 303,211 "," 116,576 ", 0.62 ,2
18,Gandahar,RTF,8,72,11,29,15.3%,40.3%," 118,650 "," 187,126 "," 68,476 ", 0.58 ,1
19,Snoopy,LTS,6,79,18,46,22.8%,58.2%," 67,590 "," 106,316 "," 38,726 ", 0.57 ,0
20,But For Sweet,LTS,5,65,12,39,18.5%,60.0%," 59,720 "," 93,578 "," 33,858 ", 0.57 ,0
21,Cloud,RTF,50,553,85,227,15.4%,41.0%," 1,005,115 "," 1,570,160 "," 565,045 ", 0.56 ,6
